ISO-3 Code,Country name,ODW Region Code,ODW Region Name,OECD Member,UN M49 Code,UN M49 Region Code,World Bank  Lending Code (July 2020),World Bank Other Code  (July 2020),World Bank Income Group Code (July 2020),World Bank Income Group Name,World Bank (All income) region code,World Bank (All Income) Region Names,World Bank (Developing only) Region Code,World Bank (Developing Only) Region Name,See notes,,
CPV,Cabo Verde,AFW,Western Africa,,132,011,Blend,,LMC,Lower middle income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),,,
KHM,Cambodia,ASE,South­Eastern Asia,,116,035,IDA,,LMC,Lower middle income,EAS,East Asia & Pacific,EAP,East Asia & Pacific (excluding high income),,,
CMR,Cameroon,AFM,Middle Africa,,120,017,Blend,HIPC,LMC,Lower middle income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),,,
CAN,Canada,AMN,North America,OECD,124,021,..,,HIC,High income,NAC,North America,..,,,,
CYM,Cayman Islands,AMC,Caribbean,,136,029,..,,HIC,High income,LCN,Latin America & Caribbean,..,,,,
CAF,Central African Republic,AFM,Middle Africa,,140,017,IDA,HIPC,LIC,Low income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),,,
TCD,Chad,AFM,Middle Africa,,148,017,IDA,HIPC,LIC,Low income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),,,
CHI,Channel Islands,EUN,Northern Europe,,830,154,..,,HIC,High income,ECS,Europe & Central Asia,..,,,,
CHL,Chile,AMZ,South America,OECD,152,005,IBRD,,HIC,High income,LCN,Latin America & Caribbean,..,,,,
CHN,China,ASF,Eastern Asia,,156,030,IBRD,,UMC,Upper middle income,EAS,East Asia & Pacific,EAP,East Asia & Pacific (excluding high income),,,
COL,Colombia,AMZ,South America,,170,005,IBRD,,UMC,Upper middle income,LCN,Latin America & Caribbean,LAC,Latin America & Caribbean (excluding high income),,,
COM,Comoros,AFE,Eastern Africa,,174,014,IDA,HIPC,LMC,Lower middle income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),,,
COD,"Congo, Dem. Rep.",AFM,Middle Africa,,180,017,IDA,HIPC,LIC,Low income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),1/,,
COG,"Congo, Rep.",AFM,Middle Africa,,178,017,Blend,HIPC,LMC,Lower middle income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),,,
COK,Cook Islands,OPY,Polynesia,,184,061,,,,,,,,,,,
CRI,Costa Rica,AMM,Central America,,188,013,IBRD,,UMC,Upper middle income,LCN,Latin America & Caribbean,LAC,Latin America & Caribbean (excluding high income),,,
CIV,Cote d'Ivoire ,AFW,Western Africa,,384,011,IDA,HIPC,LMC,Lower middle income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),,,
HRV,Croatia,EUZ,Southern Europe,,191,039,IBRD,,HIC,High income,ECS,Europe & Central Asia,..,,,,
CUB,Cuba,AMC,Caribbean,,192,029,..,,UMC,Upper middle income,LCN,Latin America & Caribbean,LAC,Latin America & Caribbean (excluding high income),,,
CUW,Curaçao,AMC,Caribbean,,531,029,..,,HIC,High income,LCN,Latin America & Caribbean,..,,,,
CYP,Cyprus,ASW,Western Asia,,196,145,..,EMU,HIC,High income,ECS,Europe & Central Asia,..,,,,
CZE,Czech Republic,EUE,Eastern Europe,OECD,203,151,..,,HIC,High income,ECS,Europe & Central Asia,..,,,,
DNK,Denmark,EUN,Northern Europe,OECD,208,154,..,,HIC,High income,ECS,Europe & Central Asia,..,,,,
DJI,Djibouti,AFE,Eastern Africa,,262,014,IDA,,LMC,Lower middle income,MEA,Middle East & North Africa,MNA,Middle East & North Africa (excluding high income),,,
DMA,Dominica,AMC,Caribbean,,212,029,Blend,,UMC,Upper middle income,LCN,Latin America & Caribbean,LAC,Latin America & Caribbean (excluding high income),,,
DOM,Dominican Republic,AMC,Caribbean,,214,029,IBRD,,UMC,Upper middle income,LCN,Latin America & Caribbean,LAC,Latin America & Caribbean (excluding high income),,,
ECU,Ecuador,AMZ,South America,,218,005,IBRD,,UMC,Upper middle income,LCN,Latin America & Caribbean,LAC,Latin America & Caribbean (excluding high income),,,
EGY,Egypt,AFN,Northern Africa,,818,015,IBRD,,LMC,Lower middle income,MEA,Middle East & North Africa,MNA,Middle East & North Africa (excluding high income),,,
SLV,El Salvador,AMM,Central America,,222,013,IBRD,,LMC,Lower middle income,LCN,Latin America & Caribbean,LAC,Latin America & Caribbean (excluding high income),,,
GNQ,Equatorial Guinea,AFM,Middle Africa,,226,017,IBRD,,UMC,Upper middle income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),,,
ERI,Eritrea,AFE,Eastern Africa,,232,014,IDA,HIPC,LIC,Low income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),,,
EST,Estonia,EUN,Northern Europe,OECD,233,154,..,EMU,HIC,High income,ECS,Europe & Central Asia,..,,,,
SWZ,Eswatini,AFZ,Southern Africa,,748,018,IBRD,,LMC,Lower middle income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),5/,,
ETH,Ethiopia,AFE,Eastern Africa,,231,014,IDA,HIPC,LIC,Low income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),,,
FRO,Faeroe Islands,EUN,Northern Europe,,234,154,..,,HIC,High income,ECS,Europe & Central Asia,..,,,,
FLK,Falkland Islands ,AMZ,South America,,238,005,,,,,,,,,,,
FRO,Faroe Islands,EUN,Northern Europe,,234,154,..,,HIC,High income,,,,,,,
FJI,Fiji,OME,Melanesia,,242,054,Blend,,UMC,Upper middle income,EAS,East Asia & Pacific,EAP,East Asia & Pacific (excluding high income),,,
FIN,Finland,EUN,Northern Europe,OECD,246,154,..,EMU,HIC,High income,ECS,Europe & Central Asia,..,,,,
YUG,Former Yugoslavia,EUZ,Southern Europe,,,,,,,,,,,,,,
FRA,France,EUW,Western Europe,OECD,250,155,..,EMU,HIC,High income,ECS,Europe & Central Asia,..,,,,
GUF,French Guiana,AMZ,South America,,254,005,,,,,,,,,,,
PYF,French Polynesia,OPY,Polynesia,,258,061,..,,HIC,High income,EAS,East Asia & Pacific,..,,,,
GAB,Gabon,AFM,Middle Africa,,266,017,IBRD,,UMC,Upper middle income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),,,
GMB,Gambia,AFW,Western Africa,,270,011,IDA,HIPC,LIC,Low income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),,,
GEO,Georgia,ASW,Western Asia,,268,145,IBRD,,UMC,Upper middle income,ECS,Europe & Central Asia,ECA,Europe & Central Asia (excluding high income),,,
DEU,Germany,EUW,Western Europe,OECD,276,155,..,EMU,HIC,High income,ECS,Europe & Central Asia,..,,,,
GHA,Ghana,AFW,Western Africa,,288,011,IDA,HIPC,LMC,Lower middle income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),,,
GIB,Gibraltar,EUZ,Southern Europe,,292,039,..,,HIC,High income,ECS,Europe & Central Asia,..,,,,
GRC,Greece,EUZ,Southern Europe,OECD,300,039,..,EMU,HIC,High income,ECS,Europe & Central Asia,..,,,,
GRL,Greenland,AMN,North America,,304,021,..,,HIC,High income,ECS,Europe & Central Asia,..,,,,
GRD,Grenada,AMC,Caribbean,,308,029,Blend,,UMC,Upper middle income,LCN,Latin America & Caribbean,LAC,Latin America & Caribbean (excluding high income),,,
GLP,Guadeloupe,AMC,Caribbean,,312,029,,,,,,,,,,,
GUM,Guam,OMI,Micronesia,,316,057,..,,HIC,High income,EAS,East Asia & Pacific,..,,,,
GTM,Guatemala,AMM,Central America,,320,013,IBRD,,UMC,Upper middle income,LCN,Latin America & Caribbean,LAC,Latin America & Caribbean (excluding high income),,,
GGY,Guernsey,EUN,Northern Europe,,831,154,,,,,,,,,,,
GIN,Guinea,AFW,Western Africa,,324,011,IDA,HIPC,LIC,Low income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),,,
GNB,Guinea-Bissau,AFW,Western Africa,,624,011,IDA,HIPC,LIC,Low income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),,,
GUY,Guyana,AMZ,South America,,328,005,IDA,HIPC,UMC,Upper middle income,LCN,Latin America & Caribbean,LAC,Latin America & Caribbean (excluding high income),,,
HTI,Haiti,AMC,Caribbean,,332,029,IDA,HIPC,LIC,Low income,LCN,Latin America & Caribbean,LAC,Latin America & Caribbean (excluding high income),,,
VAT,Holy See,EUZ,Southern Europe,,336,039,,,,,,,,,,,
HND,Honduras,AMM,Central America,,340,013,IDA,HIPC,LMC,Lower middle income,LCN,Latin America & Caribbean,LAC,Latin America & Caribbean (excluding high income),,,
HKG,"Hong Kong SAR, China",ASF,Eastern Asia,,344,030,..,,HIC,High income,EAS,East Asia & Pacific,..,,,,
HUN,Hungary,EUE,Eastern Europe,OECD,348,151,..,,HIC,High income,ECS,Europe & Central Asia,..,,,,
ISL,Iceland,EUN,Northern Europe,OECD,352,154,..,,HIC,High income,ECS,Europe & Central Asia,..,,,,
IND,India,ASZ,Southern Asia,,356,034,IBRD,,LMC,Lower middle income,SAS,South Asia,SAS,South Asia,,,
IDN,Indonesia,ASE,South­Eastern Asia,,360,035,IBRD,,UMC,Upper middle income,EAS,East Asia & Pacific,EAP,East Asia & Pacific (excluding high income),,,
IRN,"Iran, Islamic Rep.",ASZ,Southern Asia,,364,034,IBRD,,UMC,Upper middle income,MEA,Middle East & North Africa,MNA,Middle East & North Africa (excluding high income),,,
IRQ,Iraq,ASW,Western Asia,,368,145,IBRD,,UMC,Upper middle income,MEA,Middle East & North Africa,MNA,Middle East & North Africa (excluding high income),,,
IRL,Ireland,EUN,Northern Europe,OECD,372,154,..,EMU,HIC,High income,ECS,Europe & Central Asia,..,,,,
IMN,Isle of Man,EUN,Northern Europe,,833,154,..,,HIC,High income,ECS,Europe & Central Asia,..,,,,
ISR,Israel,ASW,Western Asia,OECD,376,145,..,,HIC,High income,MEA,Middle East & North Africa,..,,,,
ITA,Italy,EUZ,Southern Europe,OECD,380,039,..,EMU,HIC,High income,ECS,Europe & Central Asia,..,,,,
JAM,Jamaica,AMC,Caribbean,,388,029,IBRD,,UMC,Upper middle income,LCN,Latin America & Caribbean,LAC,Latin America & Caribbean (excluding high income),,,
JPN,Japan,ASF,Eastern Asia,OECD,392,030,..,,HIC,High income,EAS,East Asia & Pacific,..,,,,
JEY,Jersey,EUN,Northern Europe,,832,154,,,,,,,,,,,
JOR,Jordan,ASW,Western Asia,,400,145,IBRD,,UMC,Upper middle income,MEA,Middle East & North Africa,MNA,Middle East & North Africa (excluding high income),,,
KAZ,Kazakhstan,ASC,Central Asia,,398,143,IBRD,,UMC,Upper middle income,ECS,Europe & Central Asia,ECA,Europe & Central Asia (excluding high income),,,
KEN,Kenya,AFE,Eastern Africa,,404,014,Blend,,LMC,Lower middle income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),,,
KIR,Kiribati,OMI,Micronesia,,296,057,IDA,,LMC,Lower middle income,EAS,East Asia & Pacific,EAP,East Asia & Pacific (excluding high income),,,
PRK,"Korea, Dem. Rep.",ASF,Eastern Asia,,408,030,..,,LIC,Low income,EAS,East Asia & Pacific,EAP,East Asia & Pacific (excluding high income),,,
KOR,"Korea, Rep.",ASF,Eastern Asia,OECD,410,030,..,,HIC,High income,EAS,East Asia & Pacific,..,,,,
XKX,Kosovo,EUZ,Southern Europe,,412,151,IDA,,UMC,Upper middle income,ECS,Europe & Central Asia,ECA,Europe & Central Asia (excluding high income),2/,,
KWT,Kuwait,ASW,Western Asia,,414,145,..,,HIC,High income,MEA,Middle East & North Africa,..,,,,
KGZ,Kyrgyz Repubic,ASC,Central Asia,,417,143,IDA,,LMC,Lower middle income,ECS,Europe & Central Asia,ECA,Europe & Central Asia (excluding high income),,,
LAO,Lao PDR,ASE,South­Eastern Asia,,418,035,IDA,,LMC,Lower middle income,EAS,East Asia & Pacific,EAP,East Asia & Pacific (excluding high income),,,
LVA,Latvia,EUN,Northern Europe,OECD,428,154,..,EMU,HIC,High income,ECS,Europe & Central Asia,..,,,,
LBN,Lebanon,ASW,Western Asia,,422,145,IBRD,,UMC,Upper middle income,MEA,Middle East & North Africa,MNA,Middle East & North Africa (excluding high income),,,
LSO,Lesotho,AFZ,Southern Africa,,426,018,IDA,,LMC,Lower middle income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),,,
LBR,Liberia,AFW,Western Africa,,430,011,IDA,HIPC,LIC,Low income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),,,
LBY,Libya,AFN,Northern Africa,,434,015,IBRD,,UMC,Upper middle income,MEA,Middle East & North Africa,MNA,Middle East & North Africa (excluding high income),,,
LIE,Liechtenstein,EUW,Western Europe,,438,155,..,,HIC,High income,ECS,Europe & Central Asia,..,,,,
LTU,Lithuania,EUN,Northern Europe,,440,154,..,EMU,HIC,High income,ECS,Europe & Central Asia,..,,,,
LUX,Luxembourg,EUW,Western Europe,OECD,442,155,..,EMU,HIC,High income,ECS,Europe & Central Asia,..,,,,
MAC,"Macao SAR, China",ASF,Eastern Asia,,446,030,..,,HIC,High income,EAS,East Asia & Pacific,..,,,,
MDG,Madagascar,AFE,Eastern Africa,,450,014,IDA,HIPC,LIC,Low income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),,,
MWI,Malawi,AFE,Eastern Africa,,454,014,IDA,HIPC,LIC,Low income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),,,
MYS,Malaysia,ASE,South­Eastern Asia,,458,035,IBRD,,UMC,Upper middle income,EAS,East Asia & Pacific,EAP,East Asia & Pacific (excluding high income),,,
MDV,Maldives,ASZ,Southern Asia,,462,034,IDA,,UMC,Upper middle income,SAS,South Asia,SAS,South Asia,,,
MLI,Mali,AFW,Western Africa,,466,011,IDA,HIPC,LIC,Low income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),,,
MLT,Malta,EUZ,Southern Europe,,470,039,..,EMU,HIC,High income,MEA,Middle East & North Africa,..,,,,
MHL,Marshall Islands,OMI,Micronesia,,584,057,IDA,,UMC,Upper middle income,EAS,East Asia & Pacific,EAP,East Asia & Pacific (excluding high income),,,
MTQ,Martinique,AMC,Caribbean,,474,029,,,,,,,,,,,
MRT,Mauritania,AFW,Western Africa,,478,011,IDA,HIPC,LMC,Lower middle income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),,,
MUS,Mauritius,AFE,Eastern Africa,,480,014,IBRD,,HIC,High income,SSF,Sub-Saharan Africa,..,,,,
MYT,Mayotte,AFE,Eastern Africa,,175,014,,,,,,,,,,,
MEX,Mexico,AMM,Central America,OECD,484,013,IBRD,,UMC,Upper middle income,LCN,Latin America & Caribbean,LAC,Latin America & Caribbean (excluding high income),,,
FSM,"Micronesia, Fed. Sts.",OMI,Micronesia,,583,057,IDA,,LMC,Lower middle income,EAS,East Asia & Pacific,EAP,East Asia & Pacific (excluding high income),,,
MDA,Moldova,EUE,Eastern Europe,,498,151,IBRD,,LMC,Lower middle income,ECS,Europe & Central Asia,ECA,Europe & Central Asia (excluding high income),,,
MCO,Monaco,EUW,Western Europe,,492,155,..,,HIC,High income,ECS,Europe & Central Asia,..,,,,
MNG,Mongolia,ASF,Eastern Asia,,496,030,IBRD,,LMC,Lower middle income,EAS,East Asia & Pacific,EAP,East Asia & Pacific (excluding high income),,,
MNE,Montenegro,EUZ,Southern Europe,,499,039,IBRD,,UMC,Upper middle income,ECS,Europe & Central Asia,ECA,Europe & Central Asia (excluding high income),,,
MSR,Montserrat,AMC,Caribbean,,500,029,,,,,,,,,,,
MAR,Morocco,AFN,Northern Africa,,504,015,IBRD,,LMC,Lower middle income,MEA,Middle East & North Africa,MNA,Middle East & North Africa (excluding high income),,,
MOZ,Mozambique,AFE,Eastern Africa,,508,014,IDA,HIPC,LIC,Low income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),,,
MMR,Myanmar,ASE,South­Eastern Asia,,104,035,IDA,,LMC,Lower middle income,EAS,East Asia & Pacific,EAP,East Asia & Pacific (excluding high income),,,
NAM,Namibia,AFZ,Southern Africa,,516,018,IBRD,,UMC,Upper middle income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),,,
NRU,Nauru,OMI,Micronesia,,520,057,IBRD,,HIC,High income,EAS,East Asia & Pacific,..,,,,
NPL,Nepal,ASZ,Southern Asia,,524,034,IDA,,LMC,Lower middle income,SAS,South Asia,SAS,South Asia,,,
NLD,Netherlands,EUW,Western Europe,OECD,528,155,..,EMU,HIC,High income,ECS,Europe & Central Asia,..,,,,
NCL,New Caledonia,OME,Melanesia,,540,054,..,,HIC,High income,EAS,East Asia & Pacific,..,,,,
NZL,New Zealand,OAZ,Australia and New Zealand,OECD,554,053,..,,HIC,High income,EAS,East Asia & Pacific,..,,,,
NIC,Nicaragua,AMM,Central America,,558,013,IDA,HIPC,LMC,Lower middle income,LCN,Latin America & Caribbean,LAC,Latin America & Caribbean (excluding high income),,,
NER,Niger,AFW,Western Africa,,562,011,IDA,HIPC,LIC,Low income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),,,
NGA,Nigeria,AFW,Western Africa,,566,011,Blend,,LMC,Lower middle income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),,,
NIU,Niue,OPY,Polynesia,,570,061,,,,,,,,,,,
NFK,Norfolk Island,OAZ,Australia and New Zealand,,574,053,,,,,,,,,,,
MKD,North Macedonia,EUZ,Southern Europe,,807,039,IBRD,,UMC,Upper middle income,ECS,Europe & Central Asia,ECA,Europe & Central Asia (excluding high income),,,
MNP,Northern Mariana Islands,OMI,Micronesia,,580,057,..,,HIC,High income,EAS,East Asia & Pacific,..,,,,
NOR,Norway,EUN,Northern Europe,OECD,578,154,..,,HIC,High income,ECS,Europe & Central Asia,..,,,,
OMN,Oman,ASW,Western Asia,,512,145,..,,HIC,High income,MEA,Middle East & North Africa,..,,,,
PAK,Pakistan,ASZ,Southern Asia,,586,034,Blend,,LMC,Lower middle income,SAS,South Asia,SAS,South Asia,,,
PLW,Palau,OMI,Micronesia,,585,057,IBRD,,HIC,High income,EAS,East Asia & Pacific,EAP,East Asia & Pacific (excluding high income),,,
PSE,Palestine,ASW,Western Asia,,275,145,..,,LMC,Lower middle income,MEA,Middle East & North Africa,MNA,Middle East & North Africa (excluding high income),,,
PAN,Panama,AMM,Central America,,591,013,IBRD,,HIC,High income,LCN,Latin America & Caribbean,LAC,Latin America & Caribbean (excluding high income),,,
PNG,Papua New Guinea,OME,Melanesia,,598,054,Blend,,LMC,Lower middle income,EAS,East Asia & Pacific,EAP,East Asia & Pacific (excluding high income),,,
PRY,Paraguay,AMZ,South America,,600,005,IBRD,,UMC,Upper middle income,LCN,Latin America & Caribbean,LAC,Latin America & Caribbean (excluding high income),,,
PER,Peru,AMZ,South America,,604,005,IBRD,,UMC,Upper middle income,LCN,Latin America & Caribbean,LAC,Latin America & Caribbean (excluding high income),,,
PHL,Philippines,ASE,South­Eastern Asia,,608,035,IBRD,,LMC,Lower middle income,EAS,East Asia & Pacific,EAP,East Asia & Pacific (excluding high income),,,
PCN,Pitcairn,OPY,Polynesia,,612,061,,,,,,,,,,,
POL,Poland,EUE,Eastern Europe,OECD,616,151,IBRD,,HIC,High income,ECS,Europe & Central Asia,..,,,,
PRT,Portugal,EUZ,Southern Europe,OECD,620,039,..,EMU,HIC,High income,ECS,Europe & Central Asia,..,,,,
PRI,Puerto Rico,AMC,Caribbean,,630,029,..,,HIC,High income,LCN,Latin America & Caribbean,..,,,,
QAT,Qatar,ASW,Western Asia,,634,145,..,,HIC,High income,MEA,Middle East & North Africa,..,,,,
REU,Réunion,AFE,Eastern Africa,,638,014,,,,,,,,,,,
ROU,Romania,EUE,Eastern Europe,,642,151,IBRD,,HIC,High income,ECS,Europe & Central Asia,..,,3/,,
RUS,Russian Federation,EUE,Eastern Europe,,643,151,IBRD,,UMC,Upper middle income,ECS,Europe & Central Asia,ECA,Europe & Central Asia (excluding high income),,,
RWA,Rwanda,AFE,Eastern Africa,,646,014,IDA,HIPC,LIC,Low income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),,,
SHN,Saint Helena ,AFW,Western Africa,,654,011,,,,,,,,,,,
SPM,Saint Pierre and Miquelon ,AMN,North America,,666,021,,,,,,,,,,,
BLM,Saint­Barthélemy,AMC,Caribbean,,652,029,,,,,,,,,,,
WSM,Samoa,OPY,Polynesia,,882,061,IDA,,UMC,Upper middle income,EAS,East Asia & Pacific,EAP,East Asia & Pacific (excluding high income),,,
SMR,San Marino,EUZ,Southern Europe,,674,039,..,,HIC,High income,ECS,Europe & Central Asia,..,,,,
STP,Sao Tome and Principe,AFM,Middle Africa,,678,017,IDA,HIPC,LMC,Lower middle income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),,,
GGS,Sark,EUN,Northern Europe,,..,154,,,,,,,,,4/,,
SAU,Saudi Arabia,ASW,Western Asia,,682,145,..,,HIC,High income,MEA,Middle East & North Africa,..,,,,
SEN,Senegal,AFW,Western Africa,,686,011,IDA,HIPC,LMC,Lower middle income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),,,
SRB,Serbia,EUZ,Southern Europe,,688,039,IBRD,,UMC,Upper middle income,ECS,Europe & Central Asia,ECA,Europe & Central Asia (excluding high income),,,
SYC,Seychelles,AFE,Eastern Africa,,690,014,IBRD,,HIC,High income,SSF,Sub-Saharan Africa,..,,,,
SLE,Sierra Leone,AFW,Western Africa,,694,011,IDA,HIPC,LIC,Low income,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),,,
SGP,Singapore,ASE,South­Eastern Asia,,702,035,..,,HIC,High income,EAS,East Asia & Pacific,..,,,,
SXM,Sint Maarten,AMC,Caribbean,,534,029,..,,HIC,High income,LCN,Latin America & Caribbean,..,,,,
SVK,Slovakia,EUE,Eastern Europe,OECD,703,151,..,EMU,HIC,High income,ECS,Europe & Central Asia,..,,,,
SVN,Slovenia,EUZ,Southern Europe,OECD,705,039,..,EMU,HIC,High income,ECS,Europe & Central Asia,..,,,,
SLB,Solomon Islands,OME,Melanesia,,090,054,IDA,,LMC,Lower middle income,EAS,East Asia & Pacific,EAP,East Asia & Pacific (excluding high income),,,
